date,gross_equity
2015-01-05,500000.0
2015-01-06,500000.0
2015-01-07,500000.0
2015-01-08,500000.0
2015-01-09,500000.0
2015-01-12,500000.0
2015-01-13,500000.0
2015-01-14,500000.0
2015-01-15,500000.0
2015-01-16,500000.0
2015-01-19,500000.0
2015-01-20,500000.0
2015-01-21,500000.0
2015-01-22,500000.0
2015-01-23,500000.0
2015-01-26,500000.0
2015-01-27,500000.0
2015-01-28,500000.0
2015-01-29,500000.0
2015-01-30,500000.0
2015-02-02,500000.0
2015-02-03,500000.0
2015-02-04,500000.0
2015-02-05,500000.0
2015-02-06,500000.0
2015-02-09,500000.0
2015-02-10,500000.0
2015-02-11,500000.0
2015-02-12,500000.0
2015-02-13,500000.0
2015-02-16,500000.0
2015-02-17,500000.0
2015-02-25,500000.0
2015-02-26,500000.0
2015-02-27,500000.0
2015-03-02,500000.0
2015-03-03,500000.0
2015-03-04,500000.0
2015-03-05,500000.0
2015-03-06,500000.0
2015-03-09,500000.0
2015-03-10,500000.0
2015-03-11,500000.0
2015-03-12,500000.0
2015-03-13,500000.0
2015-03-16,500000.0
2015-03-17,500000.0
2015-03-18,500000.0
2015-03-19,500000.0
2015-03-20,500000.0
2015-03-23,500000.0
2015-03-24,500000.0
2015-03-25,500000.0
2015-03-26,500000.0
2015-03-27,500000.0
2015-03-30,500000.0
2015-03-31,500000.0
2015-04-01,500000.0
2015-04-02,500000.0
2015-04-03,500000.0
2015-04-07,500000.0
2015-04-08,500000.0
2015-04-09,500000.0
2015-04-10,500000.0
2015-04-13,500000.0
2015-04-14,500000.0
2015-04-15,500000.0
2015-04-16,500000.0
2015-04-17,500000.0
2015-04-20,500000.0
2015-04-21,500000.0
2015-04-22,500000.0
2015-04-23,500000.0
2015-04-24,500000.0
2015-04-27,500000.0
2015-04-28,500000.0
2015-04-29,500000.0
2015-04-30,500000.0
2015-05-04,500000.0
2015-05-05,500000.0
2015-05-06,500000.0
2015-05-07,500000.0
2015-05-08,500000.0
2015-05-11,500000.0
2015-05-12,500000.0
2015-05-13,500000.0
2015-05-14,500000.0
2015-05-15,500000.0
2015-05-18,500000.0
2015-05-19,500000.0
2015-05-20,500000.0
2015-05-21,500000.0
2015-05-22,500000.0
2015-05-25,500000.0
2015-05-26,500000.0
2015-05-27,500000.0
2015-05-28,500000.0
2015-05-29,500000.0
2015-06-01,500000.0
2015-06-02,500000.0
2015-06-03,500000.0
2015-06-04,500000.0
2015-06-05,500000.0
2015-06-08,500000.0
2015-06-09,500000.0
2015-06-10,500000.0
2015-06-11,500000.0
2015-06-12,500000.0
2015-06-15,500000.0
2015-06-16,500000.0
2015-06-17,500000.0
2015-06-18,500000.0
2015-06-19,500000.0
2015-06-23,500000.0
2015-06-24,500000.0
2015-06-25,500000.0
2015-06-26,500000.0
2015-06-29,500000.0
2015-06-30,500000.0
2015-07-01,500000.0
2015-07-02,500000.0
2015-07-03,500000.0
2015-07-06,500000.0
2015-07-07,500000.0
2015-07-08,500000.0
2015-07-09,500000.0
2015-07-10,500000.0
2015-07-13,500000.0
2015-07-14,500000.0
2015-07-15,500000.0
2015-07-16,500000.0
2015-07-17,500000.0
2015-07-20,500000.0
2015-07-21,500000.0
2015-07-22,500000.0
2015-07-23,500000.0
2015-07-24,500000.0
2015-07-27,500000.0
2015-07-28,500000.0
2015-07-29,500000.0
2015-07-30,500000.0
2015-07-31,500000.0
2015-08-03,500000.0
2015-08-04,500000.0
2015-08-05,500000.0
2015-08-06,500000.0
2015-08-07,500000.0
2015-08-10,500000.0
2015-08-11,500000.0
2015-08-12,500000.0
2015-08-13,500000.0
2015-08-14,500000.0
2015-08-17,500000.0
2015-08-18,500000.0
2015-08-19,500000.0
2015-08-20,500000.0
2015-08-21,500000.0
2015-08-24,500000.0
2015-08-25,500000.0
2015-08-26,500000.0
2015-08-27,500000.0
2015-08-28,500000.0
2015-08-31,500000.0
2015-09-01,500000.0
2015-09-02,500000.0
2015-09-07,500000.0
2015-09-08,500000.0
2015-09-09,500000.0
2015-09-10,500000.0
2015-09-11,500000.0
2015-09-14,500000.0
2015-09-15,500000.0
2015-09-16,500000.0
2015-09-17,500000.0
2015-09-18,500000.0
2015-09-21,500000.0
2015-09-22,500000.0
2015-09-23,500000.0
2015-09-24,500000.0
2015-09-25,500000.0
2015-09-28,500000.0
2015-09-29,500000.0
2015-09-30,500000.0
2015-10-08,500000.0
2015-10-09,500000.0
2015-10-12,500000.0
2015-10-13,500000.0
2015-10-14,500000.0
2015-10-15,500000.0
2015-10-16,500000.0
2015-10-19,500000.0
2015-10-20,500000.0
2015-10-21,500000.0
2015-10-22,500000.0
2015-10-23,500000.0
2015-10-26,500000.0
2015-10-27,500000.0
2015-10-28,500000.0
2015-10-29,500000.0
2015-10-30,500000.0
2015-11-02,500000.0
2015-11-03,500000.0
2015-11-04,500000.0
2015-11-05,500000.0
2015-11-06,500000.0
2015-11-09,500000.0
2015-11-10,500000.0
2015-11-11,500000.0
2015-11-12,500000.0
2015-11-13,500000.0
2015-11-16,500000.0
2015-11-17,500000.0
2015-11-18,500000.0
2015-11-19,500000.0
2015-11-20,500000.0
2015-11-23,500000.0
2015-11-24,500000.0
2015-11-25,500000.0
2015-11-26,500000.0
2015-11-27,500000.0
2015-11-30,500000.0
2015-12-01,500000.0
2015-12-02,500000.0
2015-12-03,500000.0
2015-12-04,500000.0
2015-12-07,500000.0
2015-12-08,500000.0
2015-12-09,500000.0
2015-12-10,500000.0
2015-12-11,500000.0
2015-12-14,500000.0
2015-12-15,500000.0
2015-12-16,500000.0
